lexical_unit,pos,gloss,variant,audio_file,example_sentence,translation
jamardba,Noun,"rainbow fish",,,"wuduwudu jamardba, wonggo wurr-ngundiya ngawun","It's small, they didn't eat it."
gurryu,Coverb,"dive, fall ",gurryuma,,,
juwogban,Noun,koel,,638495191430008647A LexExampleSentence.wav,"juwog mala ya-yana juwogban, gagaygba buda-wu","It says juwog, singing out for plum"
guyamin,Noun,two,,guyamin_sentence_guyamin-gu-ngorlogba-jingi.wav,Guyamin-gu ngorlogba jingi.,Say it twice.
dolbong,Coverb,"extract",,,Dolbong yawurr-gan.ga gagawli,when they are taking out the gagawli
gelewu-,Verb,"to send (to)",,gelewu_sentence_ngawun-gelewun-wurren-madin-barra.wav,Ngawun-gelewun wurren madin-barra.,I send the kids with a message.
jerrba,Adverb,"straight",jerrba-yi,jerrba.wav,Ngani-gomarlan damirlan jerrba-yi,Follow me straight this way.
mida,Noun,shield,,638545417478697473A LexExampleSentence.wav,"wurr-mendiya mida menyin-gu wurr-buyirriyaw, diyl gindiya","They got shields to fight, he blocked him."
borndoyorron,Noun,spring pandanus,,borndoyorron.wav,"Marlugbarr-wu, wu-linyjerriya mod mod borndoyorron","For didgeridoo, they cut spring pandanus."
gurrumbulma,Coverb,"be nauseous",,gurrumbulma.wav,"Gurrumbulma ya-jingin gorningmiyin, yilamagan walngin weg ngundi.","He is nauseous to vomit, maybe he swallowed a fly."
ngarrug,Pronoun,[1st inclusive plural],,,,
buwarranganin,Noun,"tree with large roots above ground",,,,
dil,Coverb,"light (fire)",,,belerren yumin mendiya dil bundiya,He got ghost gum and lit it.
gumurndunga,Noun,headdress,,,,
yiguwarlangana,Noun,"single girl/boy",,yiguwarlangana.wav,Ngayugu yiguwarlangana.,I'm a single girl.
loyi-,Verb,"dance",,638495311322743744A LexExampleSentence.wav,,"Wuloyirriya lowaglowa, wudjingindiya lowaglowa."
dilabududuj,Noun,"large insect, see this page",,,,
lanygayn,Coverb,"to listen for, harken to",,,"wonggo wurr-gurrgbarriya digirrij, lanygayn wudjingindiya, lanygany ya-yu yigulan gunga","They didn't sleep well, they stayed awake, he stayed awake.."
mirrngmirrng,Coverb,"be burning hot",,,"marninggani mirrngmirrngma ya-jingin gonjon, ya-ginyen.","The ground is really hot, it cooks it."
birlbirlba,Coverb,"flap (wings), ya-",,638545343595184718A LexExampleSentence.wav,"birlbirlba yanja gonjo-wa, maw yanja galul","He takes off from the ground, he flies."
wurrudiwulgjin,Adjective,"[Inclusive] line, one after the other",,,,
biji,Adverb,"just, only",,biji_sentence_gaya-biji-nga-nyangandi-yibalanggin.wav,Gaya-biji nga-nyangandi yibalanggin.,"I just came today, a newcomer."
wurrugu-wuya,Pronoun,[3rd Non-Singualr] [Dative] [Dual],,,,
jewele,Adjective,close,,jewele_sentence_wonggo-jewele-yini-nyangan.wav,Wonggo jewele yini-nyangan waduwadu-warang,You don't come close with cousin.
muruwun,Noun,bottle tree,,638546271092959757A LexExampleSentence.wav,muruwun ya-jingin.ga mayin-garang,the bottle tree has tucker
gorro,Noun,"south",,,nunja dawurlan gorronglan julu-warr nan-garr,You go that way to the south to that hill.
berrgoban,Adjective,pigeon-toed,,,,
barlb,Coverb,"underneath, go under or into, of dreaming",,barlb_sentence_barlb-gi-nganu-minyard-ja.wav,Barlb gi nganu minyard-ja.,Put it under the coals for me.
gereng,Coverb,"come out of new moon",gerengma,),Yibalanggin gandawag gereng wudbarri.,The new moon came out.
yanima,Adjective,thus,,,,
-yarrma,ADV,"[Adverbial]",,,,
jad,Coverb,"stand straight",,,jad ya-dagbarlan,He is holding it straight.
wabad,Coverb,"double bank, belt each other",,,wabad yawurr-buyin,
mirrijmirrij(ban),Adjective,"curly (hair)",,mirrijmirrij.wav,Yijarlo yawu-dagbarlan mirrijmirrij yijili,Some people have curly hair.
jinma,Adverb,(for a) long time,jinmayi,,jinma ya-yu,He's there for a long time.
denberr,Coverb,"hang up",,denberr_sentence_nga-ginyerriya-layin-wolod-ja-wan-denberr-wurr-gindiya.wav,Nga-ginyerriya layin wolod-ja-wan denberr wurr-gindiya.,I cooked meat and they hung it up in a storage receptacle.
banginyin,Noun,tree sp.,,,,
mamaj,Coverb,"beckon (to)",,mamaj_sentence_mamaj-ngan-men.wav,Mamaj ngan-men.,He beckons me.
yirrugun.gin,Pronoun,ours [1st Exclusive Plural],,,,
mundul,Coverb,"heap up, cover",mundulma,mundulma.wav,Mundulma ya-gin layin jerri-ya.,He heaps the meat into the oven.
jenma,Coverb,"cut up, into pieces",,,narrng mendi yumin-nya jenma lumarri,"It got stuck, she cut it off."
jindirrin,Noun,"mistletoe",,,Jindirrin dimalan marraj wuduwudu ya-gajun-ba,"Jindirrin, like small eucalypts where it stands"
gudjung,Noun,lily seed pod,,,wurr-mendiya nguyiyin gudjung.,They got lily seed pod to eat.
man,Adjective,good,,,yiman-mala buyirri.,He got better.
wad,Coverb,start off (song),,,"wad mendi yirrugu, marlarluga-yi wad wurr-mendiya wangga","He started off for us, the old men started the wangga for us."
yongordin,Noun,"white soil or sand, gonjon me-dewoman",,,,
yinggangala,Noun,"subsection term, social category term",,,,
warang,Qualitative,having,,,mobonyi wudjangandi lurrbu layin-garang,At night they came back with meat.
waliyi-,Verb,"be jealous of",,,ya-waliyin yibiyan-gu yiwarnagari-yi bangbu-yi,That nother woman is jealous for man.
ngarranggan,Verb,go,,,,
winyjilgban,Adjective,"immobile, can't move for anyone, can't get up",,,,
me-dengdeng,Noun,fig,,638545396152422078A LexExampleSentence.wav,merdengdeng yawurr-ya warljub jorijorij dagbarlarriya laglan marnburriya,Bowerbird go in la merdengdeng and make camp.
Yinibom,Noun,personal name,,,,
yawarrin,Noun,alligator,,,,
geyirrin,Noun,dew,,geyirrin.wav,Geyirrin ye-men-ga wolon wonggo yi-ngarrya.,"When the grass has dew, we don't go."
langganin,Noun,billabong,,,"gandi narrng diw wudbarri langgan-ya digirrijbi, wudbarriya bard","he narrowed, threw him down in the billabong"
gajang,Interjection,vocative used to `mother!',,,,
yurrmarla-yi-,Verb,"exchange, trade (as blows back and forth)",,,yurr yawudjingin,they siddown la scrub.
wirriggayla,Adverb,"tomorrow, next day",,wirriggayla.wav,Wirriggayla nganjagan dawurlan.,"In a few days, I will travel there."
ngeynje-,Verb,"choke",,ngeynje_sentence_nga-ngundi-layin-mabirral-ngan-ngeynjerri.wav,Nga-ngundi layin mabirral ngan-ngeynjerri.,"I ate dry meat, I choked."
jiyila,Noun,spring,,jiyila.wav,,
diyardiya,Noun,paint design (on body),,,,
eniwe,Conjunction,anyway,,,,
wirrb,Coverb,"wipe",,wirrb_sentence_ya-nyangan-go-wirrb-ya-gan.wav,Ya-nyangan go wirrb ya-gan.,Comes for him and wipes him.
gad,Coverb,"to bite",,,Gad nga-larri nanawunyin nana mernden,I bit that white guy.
ya-,Verb,"[3rd present tense]",,,,
lege,Noun,one,,638495228156598818A LexExampleSentence.wav,Wonggo legen-yi bangbu-yi dinma nganbudarri   yimarnany-gunya,"Not just one woman blamed me (i.e., a lot did), from husband."
jurljurl,Coverb,"be crippled, walk lamely",,,jurljurlma yanja janadba.,"He walks lamely, slowly."
jarlgba-,Verb,"to stab, cut, open out",,,,"He opened out the goanna, with a rock he opened out the goanna in the chest."
walanu(ng),Noun,`wild potato',,,Wonggo ngarrya-wan walanung-gu warawad,We don't go walkabout for walanu
gamanjin,Noun,bullwattie,,,,
jejbarla-,Verb,"ask (for)",,,danani me ngani-jejbarlarri bega-wu,"Take this, you asked me for tobacco."
darrngayn,Coverb,"take off, fly away",,,,
jajali,Adverb,"[Allative] the time, frequently",,jajali.wav,Toomuchi nganburr-yanarri wonggo yinga-wun-din-guya jajali dan-garr,"Because they said to me, you can't take them there all the time"
yiyang-lan,Directional,[Allative],,,,
yarrarrama,Coverb,happy,,,yarrarrma ya-jingin (mejern),He is happy.
dam,Coverb,"(make) hole",,dam_sentence_wonggo-yinggiya-ya-gan-yijurn-dam-bari.wav,Wonggo yinggiya ya-gan yijurn dam-bari.,Nobody has a pierced nose today.
dalalama,Coverb,"stand head up, head out",,,dalalama yawudjingin,They line up.
Yangganggurna,Noun,personal name,,,,
jamawin,Noun,tree,,,jamawin yirrgulu-ya ya-yu,Jamawin is found on the river.
lurrb,Coverb,"fall down",,,"bardarda lurrb ye-wen, yilamagan mulurru, gulb ye-wen mulurru","The child falls down, maybe old lady, old lady falls down"
bornorron,Noun,brolga,,,bornorro-yi-wan dolb mendi go,when brolga dropped it to him
nawarlma,Coverb,"be hindered, encumbered by",,,nawarlma yawurr-men,they got big mob thing la finger
Yibuluyma,Noun,person name,,,,
wugurlu,Noun,person name,,,,
(wu-)miri,Noun,root,,,gulijban wiyan yumin-ya ya-jingin.ga wumiri-ya,"Gulijban, where the water is in the tree roots."
laglan,Noun,"place, country",,laglan.wav,,my place is Bunjari
wurrudba-,Verb,"see",,,,
worlorlma-,Verb,"wash, fill (normally with water)",,worlorlma_sentence_nana-yibumbu-worlorlma-yawu.wav,Nana yibumbu worlorlma yawu.,Fill up this bucket for us (two).
wungijgun,Adjective,of darkness,,,,
yunuyn,Adposition,"real, actual",,,"yibayin-nyunuyn, yidugal-yunuyn",real mother-in-law and son-in-law
jeyewu-,Verb,"to show",,,"madin ngan-jeyewurri mulutja-yi ngorlogba yayungga ngunung, nga-wojbarnan madin","Mulutja showed me languiage, I understand now."
yibamnganjan,Noun,lung,,yibamnganjan.wav,,
yididi,Noun,"series of animal holes or lairs, network",,,,
mayin,Noun,"vegetable food",,,ngayi-ngun mayin bread ngayi-newerrma,"We eat bread, we are hungry."
nanngugun,Noun,person from that place,,638546290260941922A LexExampleSentence.wav,nana yibiyan nyangandi nanngugun-gunba,"that man  came from there   [see nganngugun, nanngugun]"
Yidujba,Noun,name,,,,
wumburuwuru,Noun,horn,,,,
gunud,Coverb,"healthy, feel good, happy",gunud-bari,gunudba_sentence_gunudba-ya-jingin.wav,Gunudba nga-jingindi go ngorlogba-wu.,I was glad to talk to him.
Kununurra,Noun,Kununurra,,,,
Bunjari,Noun,"Binjari",,,nganinggin laglan Binjari,My camp is Binjari..
barig,Coverb,"to leave, abandon",,,Yanarri ngunung wonggo yiniwaja barigbarig-mala nana marluga nu-jingi-wuya,"He said to me, don't you abandon that old man, you two stay together."
jamuynman,Adjective,of grandfather country,,,"wu-jamuynman laglan, nganinggin-gu yijamuyn-gu laglan gunga",My grandfather's country.
jigarrba,Noun,"pimple",,jigarrba.wav,,
ngewba-,Verb,"breathe",,,"wonggo ye-ngewba yilamagan warlad ya-yu yilamagan ngewba wagbawun,mindigmindig mijbij-ji mendiya","She doesn't breathe, maybe is sick, no breath, ant been pimchim"
jamugu,Noun,fruit of Pandanus spiralis,,,,
dagurrgba-wujban,Noun,"peering bugger",,,,
yigeyu,Noun,"own child for man",,yigeyu.wav,Yigeyu-ngunung yanggi lurrbu.,My nephew went home.
dilma,Verb,"write, paint",,dilma_sentence_wunggunburr-dilmarriya.wav,Wunggunburr-dilmarriya.,They painted them.
majirrg,Coverb,"to entwine, tie up",majirrgba,,galijba yawurr-men marrb yawurr-men majirrg yawurrmen,
yanggun-,PROPRE,"[3rd Singular]/[3rd Plural]",,,,
yibimarr,Adjective,dry,,,,
wuwunjug,Conjunction,"because of, for that reason",,,,
widban,Adjective,"wet (ground)",,,,
darl,Coverb,"clap music sticks",,,,
gujabi,Noun,cat,,,,
balybaly(ma),Coverb,"hurt",,,Baylbaylma ngan-bun yanarri-wan go,"She said to him, she's hurting me."
mog,Coverb,"smell, have an odour",mogba,mogba.wav,ngayal mog ye-men,Flowers have an odour.
bengbengma,Coverb,"slap legs together ([Inclusive] dancing)",,,,
yarrbaly-widi,Noun,"nuisance, humbug",,,,
warranggalin,Noun,mosquito,,,"wonggo jilijilijba nu-jingi, nu-jingi girrb, warranggalin-yi yiburr-ngun bulilin","Don't move about, stay still, mosquito will eat your blood."
naru,Coverb,"to dodge (weapons)",,,naru nga-wondi,I dodged
gimajin,Noun,type of snake,,,,
Wumenngegba,Noun,"Wumenngegba, placename, Flora region",,,,
warnwarnin,Adjective,long,,,yibiwi gunga yijuda wangi yigeyu gunga yiwarnwarnin,His father is short but his son is tall.
waja,Verb,to leave,,waja_sentence_ya-waja-wan.wav,Ya-waja-wan.,He leaves him.
minini,Noun,dog,,minini_sentence_nganinggin-minini-nga-dagbarlan-dan-ya.wav,Nganinggin minini nga-dagbarlan dan-ya.,I keep my dog here.
gen.gen,Noun,"vegetable food, unid.",,,,
bibirl,Coverb,"bust, break (e.g., egg)",bibirlma,,,
ngurlgurl,Noun,"bad cold, snot",,ngurlgurl.wav,Ngadjirrma nga-jingin yilamagan ngurlgurl-yi ngan-bun.,"I'm sneezing, maybe a bad cold is getting me."
ngawulug,Noun,"brother-[Inclusive]-law, `cousin' (July and Waterloo, e.g.)",,,ngawulug wonggo ya-yi-ni yinggi mayin,"brother-in-law, she can't bring food to you"
warrwarrma-,Verb,"be abundant",,,goyin ya-warrwarrma,There is a lot of honey. (many bees?)
yimburrwarla,Noun,skin category,,,,
yinyigben,Noun,"policeman",,,"yanggunburr-men yinyigbe-yi, yanggun-men jubad","The cops get them, he locks him up."
mernden,Noun,"ghost, also white person",,mernden_sentence_wulirr-wa-yanja-nana-mernden-ngamanda-warda.wav,"Wulirr-wa yanja nana mernden, ngamanda-warda?","That whitefella is going off to the side, what for?"
ngalagba,Coverb,mourn,,,mululurru ngalagba wudjingindiya,The old ladies were keening.
jilma,Coverb,"company, companionship",,,jilma ngayi-jingin,We company siddown.
berngijin,Noun,black soil,,,,
jarrambu-,Verb,"search for, with [Dative] object",,jarrambu_sentence_jarramburri-yilamagan-ngamanda-wu-layin-gu.wav,"Jarramburri yilamagan, ngamanda-wu, layin-gu?","He looked around for what, maybe game?"
bidirrig,Coverb,"sweep up",bidirrigba,bidirrigba_sentence_bidirrigba-me.wav,"Bidirrigba bundiya, warlgin marnburriya nan-beng mugurn mugurn jingindiya murag-ja..","He swept up, made a bed there and then slept in the shade."
yi-munburra,Noun,"money, stone",yimunburra,,,
nunggurlma,Noun,"stingray",,,nunggurlma yigoyog-ja wiya-ya ya-jingin.,Stingray is in salt water.
barnarr,Noun,"marble tree",,,"barnarr, guduru wurr-marnburriya","Barnarr, they made fighting sticks."
wu-jamurlurrgban,Noun,lid,,,,
yalugin,Adjective,"lively one, smart, intelligent",,,,
jaba-,Verb,"to build",,jabarri.wav,Jabarri.,S/he built.
jelgjelgba,Coverb,"sprinkle down, leak",,,jelgjelgba wendiya wiyan,Him leak (in the house).
jurndu,Adjective,"short",,,"jurndu garnin wurr-marnburriya garnin-ya wurr-gindiya benegin, garnin-junuyn.","Theu made a spear, they put wax, a real spear."
jununggurd,Coverb,"carry on shoulder",,,pumpkin too wudirriya bag-ya jununggurdba,They also brought pumpkins in bags on their shoulders.
gelelen,Adjective,cold,,gelelen_sentence_yigelelen-gonjon.wav,yigelelen gonjon,cold ground
Nyamulyun,Noun,proper name,,,a nangala gila nyangandi Nyamulyun,
dan-guya,Demonstrative,these two,,,,
juga,Noun,"child, `child!'; vocative but also used to refer",,,juga-mulu ngunung,my children
jubad,Adjective,"deaf",,,yijubad yigulan,blocked ears
lud,Coverb,"be happy",ludba,638495314614298453A LexExampleSentence.wav,"nga-jingindiya mejern ludba na Nganinggin yiguyu mejern ludba, nganingin yibiwi","I was happy now, my mother and father were happy."
yayingun-,pronominal,"[3rd Singular]/[1st Exclusive Plural] [Irrealis]",,,,
gorlorlogban,Adjective,straight,,gorlorlogba.wav,"Nga-yana wurrugu wurre-wu, gorlorlogba nu-jingi.",I tell the kids: you sit straight!
dubudubulma,Coverb,"(make) rattle",,,,
bilyb(a),Coverb,"switch (as gurang does), switch or hit legs and knees",,,biylbiylba yawurr-bun-ga merleng ya-ban,When they fan it the flames burn.
lib,Coverb,"put away, store",,638495243596054716A LexExampleSentence.wav,"Lib wurr-gindiya nana layin, mayin.","They put away that meat, that food."
jornod,Adjective,heavy,,jornod_sentence_wonggo-yini-gurrgba-yijornod.wav,Wonggo yini-gurrgba yijornod.,Don't sleep heavily.
Berru,Noun,personal name,,,,
baraj,Adverb,far,,,Gudba nu-jingi ngarringbe baraj,Get up! we want to go a long way.
warlang,Noun,big bat,,,marlagla-ya ya-yu warlang.,Big bat lives in cave.
modgo,Coverb,"crippled one",,modgo.wav,nana yibiyan modgo marnal yiwarringun,"That man is crippled, bad ankle."
Valley,Noun,Valley,,,,
jonjon,Adjective,hollow,,jonjon_sentence_jonjon-yumin.wav,jonjon yumin,rotten tree
ngagu-rlang,Noun,grannies,,638546314577647303A LexExampleSentence.wav,ngagurlang,granny gither yimbalyarri-wuya
digirrijba-,Verb,"die",,638653405247284854digirrijba-.wav,digirrijbarri.,He died.
yiberrgoban,Adjective,"lame, pigeon-toed",,yiberrgoban.wav,,
berlban,Adverb,"side, on the side",berlban-bi,,Berlban ya.,Go on the side.
Madborronggo,Noun,"Madborronggo , dog's name",,,,
borre,Noun,dream,,borre_sentence_yimum-gulug-ya-jingin-nana-wan-ngamandagan-borre-ye-men-nana-wu-wurrguru-yilamagan-yilamagan-yibiyan.wav,"Yimum gulug ya-jingin, nana-wan ngamandagan borre ye-men nana-wu wurrguru yilamagan, yilamagan yibiyan.","He is shut-eyed, then, what, he has a dream about, that devil dog maybe, maybe a man."
golo-,Verb,"to laugh at",,golo_sentence_yilamagan-yingulgban-yi-jingin-go-ngamanda-warda-yimburr-golorri.wav,"Yilamagan yingulgban yi-jingin go, ngamanda-warda yimburr-golorri?","Maybe you're funny to him, why did they laugh at you?"
waringma,Coverb,"look sideways or askance at",,,waringma ngan-dan yilamagan ngulungulu ngan-dan,"He's looking at me sideways, maybe he likes me."
lilima,Coverb,"slither, crawl, flow out, ooze",,,lilima ya-nyangan linin.,The snake comes crawling.
gorrma-,Verb,"rub, to paint",,,gorrmarri warnarrin-barra,He rubbed it with fat.
lanyinga,Noun,Lanyinga,,,,
wunma-wujban,Noun,"hurting person, sore",,,,
warrgum,Noun,a few,,,,
giyeyn,Noun,cave,,,,
gilbirrg,Coverb,"moisten",gilbirrgba,,"gilbirrggilbirrg na yirr-men yanima, ngorrma yirr-men","We moisten it like this, then we grind it"
lalb-bari,Qualitative,split one,,,,
yilama,Conjunction,maybe,,,,
-ban,Noun,"specialized plural, dyadic terms",,,,
gorlorlogba,Coverb,straight,,,gorlorlogba nu-jingi,Sit straight!
darlarlma-,Verb,"fill up",,,,
ngirringirrman,Adjective,greedy,,,yingirringirrman mayin-gu yinyilirrman,"Him  greddy one wujbin, him can't listen."
yarrulan,Noun,"lad, youth",,yarrulan.wav,,
marnungurru,Adjective,"hard, forcefully",,marnungurru.wav,"Marnungurru luma, nanani yumin!",Cut that tree hard!
jamba,Conjunction,like,,,,
Walbiyarra,Noun,personal name,,,,
gabarri,Conjunction,"also, and",,,,
bingmarla,Noun,yellow paint,,,,
nyingurrma,Coverb,"make noise, humbug",,,nyingurrma ya-jingin,He makes noise
damdam,Coverb,"to have scabies-like sores or blisters",,damdam.wav,"Damdam nganja, damdam-garang nga-jingin.",I have sores/blisters.
warda,Emphatic,"how [Inclusive] the world, how ever",,,,
wandawurl,Noun,toponym,,,,
wurrugun.gin,Pronoun,theirs [Non-singular],,,,
galyurra-wujban,Noun,nuisance,,,,
garrnggarrngma,Coverb,laugh,,,garrnggarrngma yayungga yigologolon yigolowujban,"laughing, a comic, laugher"
Yigarrarnawun,Noun,locale near Victoria River,,,,
bindangma,Coverb,"take out, pull apart",,bindangma_sentence_bindangma-mendi.wav,Garnin-ba bindangma mendi benegin,He pulled the wax from the spear.
dagdagin,Noun,"kurrajong",,dagdagin.wav,dagdagin yirr-ngun jen.gen yirr-ngun,"We eat dagdagin, we eat jen.gen"
boban,Adjective,"dry, warm",,,,
merdengdeng,Noun,"small black fig",,,,
ngarlagba,Coverb,"sorrow, grieve",,,mululurru ngarlagba wudjingindiya,The old ladies mourned.
bow,Coverb,"dive [Inclusive]",,bow.wav,Wulirr-wa bow wurr-wendi.,They dove in from the side.
morrolng-mayin,Adjective,green,,,SW does not recognize,
Wungayajawun,Noun,region ca. Scott Ck,,,,
juluj,Coverb,"carry on shoulder",julujba,,,
wardarl,Coverb,"struggle",,,wardarl ya-yu yurrba,Him stand up.
belbelin,Adjective,flat,,,Yijeng nga-narriya yibelbelin like yiguyu marraj,"I saw her foot, smooth like mother's."
ngarndun,Noun,rockhole,,ngarndun.wav,ngarndun,ngarndun
wolyog,Coverb,"rinse, scrub",,,wolyog yirr-mendiya yiwarlng na soap-garang arayt,"We scrubbed the clothes with soap, ok"
bida,Noun,tree gall,,,,
warranganyin,Noun,"high bank, precipice",,,,
ngeyi-,Verb,"to argue",,,yawurr-ngeyin mayin-gu wonggo yilamagan marnburri go mayin,they are arguing for tucker
mu-wudban,Noun,wet place,,,,
wukjarranggu,Noun,pinky finger,,,,
mulerr,Coverb,"to grieve, mourn",mulerrma,638546210446128795A LexExampleSentence.wav,mulerr wulurriya ngawurnen,They cried a lot of them.
mumngarrama,Coverb,"get dizzy",,,mum-ngarrama den ye-wen,He falls down dizzy.
julamarran,Noun,white currant,,,,
ledbarnan,Adjective,"peering bugger, looking at bugger, nosy person",,,yiledbarnan,looking at bugger
yingun-,Verb,"[3rd Singular]/[1st Exclusive Plural]",,,,
yiworlngworl,Noun,lungs,,yiworlngworlng.wav,"yiworlngworl ngadjurlma nga-yu, yiworlngorl yiwarringun","I have bad lungs,"
-ni,DEM,"substantive",,,,
borlg,Coverb,"to remove guts",borlgba,,Nanbawan dog wurr-bundiya wumunburra-warra na Borlg wurr-mendiya mordorl too wulinyjerriya wumunburra-warra again,
murrgmurrg,Coverb,"crumble",,murrgmurrg_sentence_murrgmurrg-mendiya.wav,Murrgmurrg mendiya. [yarlarrg],It crumbles. [leaf]
yiwanay,Noun,subsection,,,,
yiwarna-gari,Adjective,other,yiwarnagari,,Yiwarnagariyi bangbuyi gabarri yijili durd nganmendi,Another woman also grabbed me by the hair.
dingdingma,Coverb,"be, look nice, pretty",dingding,,,
jungurra,Adverb,other way,,,,
gari,Noun,other,,,ngayugu nganjagi lagla-gari-ya nga-jingindiya wurre-warang,I went to another camp and stayed with my child.
jarnurrin,Noun,"spit, spittle",,jarnurrin.wav,"jarnurrin wurr-gindiya giggig-mala, yijaga-wunba jarnurrin","They put saliva on it by spitting, saliva from their mouths."
barlarrma-,Verb,"grab",,,,
gagawuli,Noun,"long yam type",,,,
yirragina,Noun,halo,,638550585034906633A LexExampleSentence.wav,yirragina ya-wudba gandawag gereng,The moon has a halo.
megerrman,Noun,"long yam, Dioscorea sp.",,,,
marla,Noun,"tripe, intestines",,marla.wav,marla ya-jingin ngarrugu ngun-gu,Our intestines are there for our faeces.
nidban,Noun,"cicada",,,"diii ya-yu yum-nya nidban-yi, yiwung-gu diii ya-yana",He's singing out for white currant.
ngorlogba-,Verb,"to talk",,,ngamungguja yilamagan ngorlogbarri madin.,Maybe the boss talked.
Yijadalwun,Noun,name,,,,
dagbarla,Verb,have,,,nganbu-dagbalarriya mululurru-yi,The old ladies looked after me.
ngalyalya-wujban,Noun,"crying bugger, plaintive for",,,,
ngurluguyma,Coverb,to talk,ngurluguyma,,"ngurluguyma yawudjingin-ga, yawungguya ngorlogba ngayi-jingin",they talking together (quietly)
gagung,Noun,"father's father; father's father's sister",,,wonggo gagung gindi nana mulurru,She didn't call the old woman gagung
nyogba,Coverb,howl,,nyogba_sentence_nyogba-wurranggiyawu-ooo.wav,"Nyogba wurranggiya, ooo!","The howled, ooo!"
ngeleg,Adjective,"light on, illuminated",,,ngeleg bu wuden-barra,Light it with the wing. [turkey]
jarrarda,Noun,song,,,jarrarda werrenyburriya,he ensorcelled (by) jarrarda
ngurl,Coverb,"to load up",,,ngurl ye-men yiwarlng layin mayin wayana,She loads up (everything).
gornorrong,Noun,long necked turtle,,,,
ngelen,Adjective,married,,ngelen_sentence_yingelen-na-yawud-jingin.wav,Yingelen na yawud-jingin.,They are married.
jidij,Noun,Brown Quail,,,,
wilin,Noun,soap tree,,638478831834014562A LexExampleSentence.wav,wilin wurr-buyirri yinyeyn wayana worlogba,"The soap tree, they washed their bodies and all with it."
yayigba,Coverb,"cry, mourn",,,yayigba yawudjingin,They mourned.
gandawag,Noun,moon,Gandawag,gandawag_sentence_gandawag-yanyanganga-werrma-milijurn-yanyangan-go-jaburru.wav,"Gandawag yanyangan.ga werrma, milijurn yanyangan go jaburru.","When the moon comes out, the stars come out after it."
darlg,Coverb,"pierce, pop",,,yijarlo didin nga-dagbarlan wuduwudu yawu-linyjen darlg yawurr-bun beng-mala yawurr-bun ngarlaga-ya yawurr-bun,"We have some lice, they cut the small ones, they pop them, they squish them on their heads."
wurdiwulgba,Adjective,"[Inclusive] the middle, shortcut",,,,
gewurrin,Noun,kneecap,,,"gewurrin nga-jingin wunma, wonggo yinganjaF gajigaji.","My kneecap hurts, I can't walk."
ngamandagan,Interrogative,whats it,,,wunggunburr-gandiya ngamandagan didij,"They took them around, whatsit, camping out."
lal,Coverb,"spread",,,"buligi-warda lal yawurr-ya, lal ya-bun merde-yi nendo-warra yawurrangga go","The cattle spread out, he scatters them, when white man spreads them"
dabidabi,Adverb,straight,,,dabidabi ya-gurrgba,Him sleep straight
nyerrengma,Coverb,to make noise,nyerrengnyerrengma,nyerrengma_sentence_nyerreng-nyerrengma-yawudjingin.wav,Nyerreng-nyerrengma yawudjingin wurren murag-ja.,"They make a racket, the kids, in the shade."
gurang,Noun,"clever, doctor",,gurang.wav,"gunbilin ya-nyangayan yinggi, ya-nyangan yarlarrg-garang,gurang donbong ye-men yarlarrg-barra","The doctor might come for you, he comes with branches, and takes things out."
jandal,Noun,type of small lizard,,638494336326103979A LexExampleSentence.wav,,It lives in the grass.
marnal,Noun,ankle,,marnal.wav,marnal yiwarringun garlirlij-bari,"Bad ankle, swollen up"
Manbulloo,Noun,Manbulloo,,,Dana wudu nga-jingiyn.ga yirranggi bogogo Manbulloo-warr,When I was little we went walkabout to Manbulloo.
bornma-,Verb,"to bathe",,,yirr-bornmarriya naribu,We bogeyed mussels.
bin.gan,Noun,bream,,,,
gandarrin,Noun,river wallaby,,,Wonggo yirr-men barrunin wonggo yirr-men barrunin wuduwudu or yijadyijad ngawun gandawag-ji murl ye-men yirrugu,"We don't get fish, we don't get little or big fish, the moon hides it from us"
Wuluwari,Noun,name,,,,
darlarlman,Noun,sated one,,,,
warrinyjalan,Noun,"lemon grass, Cymbopogon poss. bombycinus",,,,
nyunggawula,Noun,wild hair,,,bornborn wagbawun nyunggawula,"no bogey, that wild hair"
berreng,Adposition,"one who might (unfortunately) be inclined to do X",,,,
gong,Interjection,sound,,,,
barlarr,Coverb,"spread, hang out (clothes), hang up",barlarrwarlarr,,"barlarr yirr-gin yiwarlng, barlarrwarlarr yirr-gin.",We hang up the clothes.
jaburrunggun,Adjective,antecedent,,,"yi-jaburrunggun, ngabobu, gagung, yijamuyn",my antecedent
yijaga,Noun,"mouth, fishhook",,yijaga.wav,Yijaga mayin-gu yirr-ngun.ga mayin.,"Mouth is good, when we eat food."
garlirlin,Noun,"mosquito",,,garlaliwa,placename
ning,Coverb,"snap",,ning_sentence_yijarlo-yi-ning-wurr-mendiya-yijarlo-yi-dibugdibug-wurr-bundiya.wav,"Yijarlo-yi ning wurr-mendiya, yijarlo-yi dibugdibug wurr-bundiya.","Some snapped it, some poked it."
yubyub,Coverb,"scuttle, run rapidly (children, emu)",,,yubyub yawurrangga gayardung,They go running.
bardarr-me-yi,Verb,to scratch oneself,,,,
don.go,Coverb,"lined up, [Inclusive] a line",,,,
